contract_id,customer_id,start_date,end_date,arr_usd,status
CON-0001,CUST-0001,2025-09-02,2026-09-02,50000,active
CON-0002,CUST-0002,2025-09-03,2026-09-03,75000,active
CON-0003,CUST-0003,2025-09-04,2026-09-04,100000,active
CON-0004,CUST-0004,2025-09-05,2026-09-05,125000,active
CON-0005,CUST-0005,2025-09-06,2026-09-06,150000,active
CON-0006,CUST-0006,2025-09-07,2026-09-07,25000,active
CON-0007,CUST-0007,2025-09-08,2026-09-08,50000,active
CON-0008,CUST-0008,2025-09-09,2026-09-09,75000,active
CON-0009,CUST-0009,2025-09-10,2026-09-10,100000,active
CON-0010,CUST-0010,2025-09-11,2026-09-11,125000,active
CON-0011,CUST-0011,2025-09-12,2026-09-12,150000,active
CON-0012,CUST-0012,2025-09-13,2026-09-13,25000,active
CON-0013,CUST-0013,2025-09-14,2026-09-14,50000,active
CON-0014,CUST-0014,2025-09-15,2026-09-15,75000,active
CON-0015,CUST-0015,2025-09-16,2026-09-16,100000,active
CON-0016,CUST-0016,2025-09-17,2026-09-17,125000,active
CON-0017,CUST-0017,2025-09-18,2026-09-18,150000,active
CON-0018,CUST-0018,2025-09-19,2026-09-19,25000,active
CON-0019,CUST-0019,2025-09-20,2026-09-20,50000,active
CON-0020,CUST-0020,2025-09-21,2026-09-21,75000,active
CON-0021,CUST-0021,2025-09-22,2026-09-22,100000,active
CON-0022,CUST-0022,2025-09-23,2026-09-23,125000,active
CON-0023,CUST-0023,2025-09-24,2026-09-24,150000,active
CON-0024,CUST-0024,2025-09-25,2026-09-25,25000,active
CON-0025,CUST-0025,2025-09-26,2026-09-26,50000,active
CON-0026,CUST-0026,2025-09-27,2026-09-27,75000,active
CON-0027,CUST-0027,2025-09-28,2025-09-24,100000,active
CON-0028,CUST-0028,2025-09-29,2026-09-29,125000,active
CON-0029,CUST-0029,2025-09-30,2026-09-30,150000,active
CON-0030,CUST-0030,2025-10-01,2026-10-01,25000,active
