implementation_id,customer_id,workspace_id,status,target_go_live_date,actual_go_live_date,risk_reason
IMP-0001,CUST-0001,WS-0001,completed,2026-08-11,2026-08-10,
IMP-0002,CUST-0002,WS-0002,completed,2026-08-10,2026-08-08,
IMP-0003,CUST-0003,WS-0003,completed,2026-08-09,2026-08-06,
IMP-0004,CUST-0004,WS-0004,delayed,2026-08-08,,integration dependency
IMP-0005,CUST-0005,WS-0005,completed,2026-08-07,2026-08-02,
IMP-0006,CUST-0006,WS-0006,completed,2026-08-06,2026-07-31,
IMP-0007,CUST-0007,WS-0007,completed,2026-08-05,2026-07-29,
IMP-0008,CUST-0008,WS-0008,completed,2026-08-04,2026-07-27,
IMP-0009,CUST-0009,WS-0009,completed,2026-08-03,2026-07-25,
IMP-0010,CUST-0010,WS-0010,completed,2026-08-02,2026-08-02,
IMP-0011,CUST-0011,WS-0011,delayed,2026-08-01,,integration dependency
IMP-0012,CUST-0012,WS-0012,completed,2026-07-31,2026-07-29,
IMP-0013,CUST-0013,WS-0013,completed,2026-07-30,2026-07-27,
IMP-0014,CUST-0014,WS-0014,completed,2026-07-29,2026-07-25,
IMP-0015,CUST-0015,WS-0015,completed,2026-07-28,2026-07-23,
IMP-0016,CUST-0016,WS-0016,completed,2026-07-27,2026-07-21,
IMP-0017,CUST-0017,WS-0017,completed,2026-07-26,2026-07-19,
IMP-0018,CUST-0018,WS-0018,delayed,2026-07-25,,integration dependency
IMP-0019,CUST-0019,WS-0019,completed,2026-07-24,2026-07-15,
IMP-0020,CUST-0020,WS-0020,completed,2026-07-23,2026-07-23,
IMP-0021,CUST-0021,WS-0021,completed,2026-07-22,2026-07-21,
IMP-0022,CUST-0022,WS-0022,completed,2026-07-21,2026-07-19,
IMP-0023,CUST-0023,WS-0023,completed,2026-07-20,2026-07-17,
IMP-0024,CUST-0024,WS-0024,completed,2026-07-19,2026-07-15,
IMP-0025,CUST-0025,WS-0025,delayed,2026-07-18,,integration dependency
IMP-0026,CUST-0026,WS-0026,completed,2026-07-17,2026-07-11,
IMP-0027,CUST-0027,WS-0027,completed,2026-07-16,2026-07-09,
IMP-0028,CUST-0028,WS-0028,completed,2026-07-15,2026-07-07,
IMP-0029,CUST-0029,WS-0029,completed,2026-07-14,2026-07-05,
IMP-0030,CUST-0030,WS-0030,completed,2026-07-13,2026-07-13,
