ticket_id,customer_id,severity,status,opened_at,resolved_at,category,title
TKT-00001,CUST-0001,P3,resolved,2026-08-29,2026-08-31,Integration,Fictional workflow support request
TKT-00002,CUST-0002,P3,resolved,2026-08-26,2026-08-29,Integration,Fictional workflow support request
TKT-00003,CUST-0003,P2,open,2026-08-23,,Integration,Fictional workflow support request
TKT-00004,CUST-0004,P3,resolved,2026-08-20,2026-08-25,Integration,Fictional workflow support request
TKT-00005,CUST-0005,P3,resolved,2026-08-17,2026-08-18,workflow-config,Fictional workflow support request
TKT-00006,CUST-0006,P3,resolved,2026-08-14,2026-08-16,Integration,Fictional workflow support request
TKT-00007,CUST-0007,P3,resolved,2026-08-11,2026-08-14,Integration,Fictional workflow support request
TKT-00008,CUST-0008,P3,resolved,2026-08-08,2026-08-12,Integration,Fictional workflow support request
TKT-00009,CUST-0009,P3,resolved,2026-08-05,2026-08-10,Integration,Fictional workflow support request
TKT-00010,CUST-0010,P2,resolved,2026-08-02,2026-08-03,workflow-config,Fictional workflow support request
TKT-00011,CUST-0011,P3,resolved,2026-07-30,2026-08-01,Integration,Fictional workflow support request
TKT-00012,CUST-0012,P3,resolved,2026-07-27,2026-07-30,Integration,Fictional workflow support request
TKT-00013,CUST-0013,P3,resolved,2026-07-24,2026-07-28,Integration,Fictional workflow support request
TKT-00014,CUST-0014,P3,resolved,2026-07-21,2026-07-26,Integration,Fictional workflow support request
TKT-00015,CUST-0015,P3,resolved,2026-07-18,2026-07-19,workflow-config,Fictional workflow support request
TKT-00016,CUST-0016,P3,resolved,2026-07-15,2026-07-17,Integration,Fictional workflow support request
TKT-00017,CUST-0017,P2,open,2026-07-12,2026-07-13,Integration,Fictional workflow support request
TKT-00018,CUST-0018,P3,resolved,2026-07-09,2026-07-13,Integration,Fictional workflow support request
TKT-00019,CUST-0019,P3,resolved,2026-07-06,2026-07-11,Integration,Fictional workflow support request
TKT-00020,CUST-0020,P3,resolved,2026-07-03,2026-07-04,workflow-config,Fictional workflow support request
TKT-00021,CUST-0021,P3,resolved,2026-06-30,2026-07-02,Integration,Fictional workflow support request
TKT-00022,CUST-0022,P3,resolved,2026-06-27,2026-06-30,Integration,Fictional workflow support request
TKT-00023,CUST-0023,P3,resolved,2026-06-24,2026-06-28,Integration,Fictional workflow support request
TKT-00024,CUST-0024,P1,open,2026-06-21,,Integration,Fictional workflow support request
TKT-00025,CUST-0025,P3,resolved,2026-06-18,2026-06-19,workflow-config,Fictional workflow support request
TKT-00026,CUST-0026,P3,resolved,2026-06-15,2026-06-17,Integration,Fictional workflow support request
TKT-00027,CUST-0027,P3,resolved,2026-06-12,2026-06-15,Integration,Fictional workflow support request
TKT-00028,CUST-0028,P3,resolved,2026-06-09,2026-06-13,Integration,Fictional workflow support request
TKT-00029,CUST-0029,P3,resolved,2026-06-06,2026-06-11,Integration,Fictional workflow support request
TKT-00030,CUST-0030,P3,resolved,2026-09-01,2026-09-02,workflow-config,Fictional workflow support request
TKT-00031,CUST-0001,P3,resolved,2026-08-29,2026-08-31,Integration,Fictional workflow support request
TKT-00032,CUST-0002,P3,resolved,2026-08-26,2026-08-29,Integration,Fictional workflow support request
TKT-00033,CUST-0003,P2,open,2026-08-23,,Integration,Fictional workflow support request
TKT-00034,CUST-0004,P3,resolved,2026-08-20,2026-08-25,Integration,Fictional workflow support request
TKT-00035,CUST-0005,P3,resolved,2026-08-17,2026-08-18,workflow-config,Fictional workflow support request
TKT-00036,CUST-0006,P3,resolved,2026-08-14,2026-08-16,Integration,Fictional workflow support request
TKT-00037,CUST-0007,P3,resolved,2026-08-11,2026-08-14,Integration,Fictional workflow support request
TKT-00038,CUST-0008,P3,resolved,2026-08-08,2026-08-12,Integration,Fictional workflow support request
TKT-00039,CUST-0009,P3,resolved,2026-08-05,2026-08-10,Integration,Fictional workflow support request
TKT-00040,CUST-0010,P1,resolved,2026-08-02,2026-08-03,workflow-config,Fictional workflow support request
TKT-00041,CUST-0011,P3,resolved,2026-07-30,2026-08-01,Integration,Fictional workflow support request
TKT-00042,CUST-0012,P3,resolved,2026-07-27,2026-07-30,Integration,Fictional workflow support request
TKT-00043,CUST-0013,P3,resolved,2026-07-24,2026-07-28,Integration,Fictional workflow support request
TKT-00044,CUST-0014,P3,resolved,2026-07-21,2026-07-26,Integration,Fictional workflow support request
TKT-00045,CUST-0015,P3,resolved,2026-07-18,2026-07-19,workflow-config,Fictional workflow support request
TKT-00046,CUST-0016,P3,resolved,2026-07-15,2026-07-17,Integration,Fictional workflow support request
TKT-00047,CUST-0017,P2,resolved,2026-07-12,2026-07-15,Integration,Fictional workflow support request
TKT-00048,CUST-0018,P3,resolved,2026-07-09,2026-07-13,Integration,Fictional workflow support request
TKT-00049,CUST-0019,P3,resolved,2026-07-06,2026-07-11,Integration,Fictional workflow support request
TKT-00050,CUST-0020,P3,resolved,2026-07-03,2026-07-04,workflow-config,Fictional workflow support request
TKT-00051,CUST-0021,P3,resolved,2026-06-30,2026-07-02,Integration,Fictional workflow support request
TKT-00052,CUST-0022,P3,resolved,2026-06-27,2026-06-30,Integration,Fictional workflow support request
TKT-00053,CUST-0023,P3,resolved,2026-06-24,2026-06-28,Integration,Fictional workflow support request
TKT-00054,CUST-0024,P2,open,2026-06-21,,Integration,Fictional workflow support request
TKT-00055,CUST-0025,P3,resolved,2026-06-18,2026-06-19,workflow-config,Fictional workflow support request
TKT-00056,CUST-0026,P3,resolved,2026-06-15,2026-06-17,Integration,Fictional workflow support request
TKT-00057,CUST-0027,P3,resolved,2026-06-12,2026-06-15,Integration,Fictional workflow support request
TKT-00058,CUST-0028,P3,resolved,2026-06-09,2026-06-13,Integration,Fictional workflow support request
TKT-00059,CUST-0029,P3,resolved,2026-06-06,2026-06-11,Integration,Fictional workflow support request
TKT-00060,CUST-0030,P3,resolved,2026-09-01,2026-09-02,workflow-config,Fictional workflow support request
TKT-00061,CUST-0001,P3,resolved,2026-08-29,2026-08-31,Integration,Fictional workflow support request
TKT-00062,CUST-0002,P3,resolved,2026-08-26,2026-08-29,Integration,Fictional workflow support request
TKT-00063,CUST-0003,P2,open,2026-08-23,,Integration,Fictional workflow support request
TKT-00064,CUST-0004,P3,resolved,2026-08-20,2026-08-25,Integration,Fictional workflow support request
TKT-00065,CUST-0005,P3,resolved,2026-08-17,2026-08-18,workflow-config,Fictional workflow support request
TKT-00066,CUST-0006,P3,resolved,2026-08-14,2026-08-16,Integration,Fictional workflow support request
TKT-00067,CUST-0007,P3,resolved,2026-08-11,2026-08-14,Integration,Fictional workflow support request
TKT-00068,CUST-0008,P3,resolved,2026-08-08,2026-08-12,Integration,Fictional workflow support request
TKT-00069,CUST-0009,P3,resolved,2026-08-05,2026-08-10,Integration,Fictional workflow support request
TKT-00070,CUST-0010,P2,resolved,2026-08-02,2026-08-03,workflow-config,Fictional workflow support request
TKT-00071,CUST-0011,P3,resolved,2026-07-30,2026-08-01,Integration,Fictional workflow support request
TKT-00072,CUST-0012,P3,resolved,2026-07-27,2026-07-30,Integration,Fictional workflow support request
TKT-00073,CUST-0013,P3,resolved,2026-07-24,2026-07-28,Integration,Fictional workflow support request
TKT-00074,CUST-0014,P3,resolved,2026-07-21,2026-07-26,Integration,Fictional workflow support request
TKT-00075,CUST-0015,P3,resolved,2026-07-18,2026-07-19,workflow-config,Fictional workflow support request
TKT-00076,CUST-0016,P3,resolved,2026-07-15,2026-07-17,Integration,Fictional workflow support request
