usage_id,customer_id,workspace_id,usage_date,active_users,workflows_run,sla_breach_count,ingested_at
USE-0001-0001,CUST-0001,WS-0001,2026-06-04,18,54,2,2026-06-04T02:00:00Z
USE-0001-0002,CUST-0001,WS-0001,2026-06-05,21,84,0,2026-06-05T02:00:00Z
USE-0001-0003,CUST-0001,WS-0001,2026-06-06,19,57,2,2026-06-06T02:00:00Z
USE-0001-0004,CUST-0001,WS-0001,2026-06-07,25,75,2,2026-06-07T02:00:00Z
USE-0001-0005,CUST-0001,WS-0001,2026-06-08,23,69,0,2026-06-08T02:00:00Z
USE-0001-0006,CUST-0001,WS-0001,2026-06-09,18,72,0,2026-06-09T02:00:00Z
USE-0001-0007,CUST-0001,WS-0001,2026-06-10,25,75,2,2026-06-10T02:00:00Z
USE-0001-0008,CUST-0001,WS-0001,2026-06-11,20,120,0,2026-06-11T02:00:00Z
USE-0001-0009,CUST-0001,WS-0001,2026-06-12,24,120,0,2026-06-12T02:00:00Z
USE-0001-0010,CUST-0001,WS-0001,2026-06-13,19,114,1,2026-06-13T02:00:00Z
USE-0001-0011,CUST-0001,WS-0001,2026-06-14,21,84,0,2026-06-14T02:00:00Z
USE-0001-0012,CUST-0001,WS-0001,2026-06-15,22,66,0,2026-06-15T02:00:00Z
USE-0001-0013,CUST-0001,WS-0001,2026-06-16,23,69,1,2026-06-16T02:00:00Z
USE-0001-0014,CUST-0001,WS-0001,2026-06-17,22,110,0,2026-06-17T02:00:00Z
USE-0001-0015,CUST-0001,WS-0001,2026-06-18,24,72,1,2026-06-18T02:00:00Z
USE-0001-0016,CUST-0001,WS-0001,2026-06-19,18,90,2,2026-06-19T02:00:00Z
USE-0001-0017,CUST-0001,WS-0001,2026-06-20,26,130,2,2026-06-20T02:00:00Z
USE-0001-0018,CUST-0001,WS-0001,2026-06-21,20,60,0,2026-06-21T02:00:00Z
USE-0001-0019,CUST-0001,WS-0001,2026-06-22,20,100,0,2026-06-22T02:00:00Z
USE-0001-0020,CUST-0001,WS-0001,2026-06-23,20,60,1,2026-06-23T02:00:00Z
USE-0001-0021,CUST-0001,WS-0001,2026-06-24,21,126,2,2026-06-24T02:00:00Z
USE-0001-0022,CUST-0001,WS-0001,2026-06-25,22,88,1,2026-06-25T02:00:00Z
USE-0001-0023,CUST-0001,WS-0001,2026-06-26,22,88,2,2026-06-26T02:00:00Z
USE-0001-0024,CUST-0001,WS-0001,2026-06-27,21,63,2,2026-06-27T02:00:00Z
USE-0001-0025,CUST-0001,WS-0001,2026-06-28,19,76,0,2026-06-28T02:00:00Z
USE-0001-0026,CUST-0001,WS-0001,2026-06-29,24,144,1,2026-06-29T02:00:00Z
USE-0001-0027,CUST-0001,WS-0001,2026-06-30,25,100,2,2026-06-30T02:00:00Z
USE-0001-0028,CUST-0001,WS-0001,2026-07-01,22,66,0,2026-07-01T02:00:00Z
USE-0001-0029,CUST-0001,WS-0001,2026-07-02,17,85,1,2026-07-02T02:00:00Z
USE-0001-0030,CUST-0001,WS-0001,2026-07-03,21,63,0,2026-07-03T02:00:00Z
USE-0001-0031,CUST-0001,WS-0001,2026-07-04,26,130,0,2026-07-04T02:00:00Z
USE-0001-0032,CUST-0001,WS-0001,2026-07-05,24,144,2,2026-07-05T02:00:00Z
USE-0001-0033,CUST-0001,WS-0001,2026-07-06,24,96,1,2026-07-06T02:00:00Z
USE-0001-0034,CUST-0001,WS-0001,2026-07-07,19,76,2,2026-07-07T02:00:00Z
USE-0001-0035,CUST-0001,WS-0001,2026-07-08,25,125,2,2026-07-08T02:00:00Z
USE-0001-0036,CUST-0001,WS-0001,2026-07-09,26,156,2,2026-07-09T02:00:00Z
USE-0001-0037,CUST-0001,WS-0001,2026-07-10,23,115,0,2026-07-10T02:00:00Z
USE-0001-0038,CUST-0001,WS-0001,2026-07-11,19,114,0,2026-07-11T02:00:00Z
USE-0001-0039,CUST-0001,WS-0001,2026-07-12,17,51,0,2026-07-12T02:00:00Z
